name,ops,image_url,profile_link,community_member,youtube_link
Alan Watts,FF-Ne/Ti-CP/BS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/kK2y2mKKKj8clTMVaYYZiA/wow2paARPJ4N0wN3yLIll2Q3tg1ZpN6roqk8i54MVgPFQ4Ml7ujs6LhgXiFT8qryJ4UnFj__1lukkc6wsB8EQxm6KYZYBWib-8M8HFJaM-Lsxs53_jdBDmuSwfySnQQiWaIWtBUnLxBB5tkOPw2Nxg/UbjuoizrbOqyhpa1o9OWhj5jhrjD6HD6ZugJsQ9u3S0,http://app.subjectivepersonality.com/search/person?person=Alan Watts,0,https://www.youtube.com/results?search_query=Alan%20Watts%20interview
Alana Dawn,MF-Se/Fi-CS/BP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/deddcvucdSUC04FWI8VnhA/7S5TYBatTFXmLL1HJsCJ87Fv8wE8VLI6ehodQUt1LfYzb52KkFerJP0nJPJRbYiaNy9UDb-lrbyPGg1jknk_HlG95-SurICFZzIcX_bE0DcWOH5_27nKx41b4qQuBfSmqPfm0MlbQucj4UayEBcvRg/YSme3uo4N-AmMhxX4YOiJEOFadAfhqH8Z5cnUurE6mw,http://app.subjectivepersonality.com/search/person?person=Alana Dawn,0,https://www.youtube.com/results?search_query=Alana%20Dawn%20interview
Alayna Joy,MF-Ne/Fi-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/23PEhGV74glWC91zah5dtA/LziMJOBrM7YLEitnBEBEGfNX4TGyLJJFjIhWl5KDOD9s8tg4A4kNeJlG1ZJ-ngVp6TQBdxYXvnPHnyVGDj1eYYy6NEvylVOelNXGec7FQJXN4xYVDtiRDd40rizuazenCL0CNQQGl3QxEDMJKOmsuQ/qZ4Q3k8Kwd-13yDbfhDORtMPbdRPfIo5dpjMsGJewlk,http://app.subjectivepersonality.com/search/person?person=Alayna Joy,0,https://www.youtube.com/results?search_query=Alayna%20Joy%20interview
Albert Z,MM-Ni/Te-BS/PC,https://v5.airtableusercontent.com/v2/23/23/1700251200000/B2k789Zd_vHXmjJ-reMg2w/2uWAjCXwIPn9vq9A1PwjWxcEWR33EtJSZa4uQc7k1p54_DtE-W9QTEOXogxfwh6JV4PK7atr2yXD29BW67qG9uQ6MkzDOVr82AvXAz0IKWmDGA66uloXcVlqgT8xoLkJnMC5lprVkZworEvT0ILQLA/EUynqu-mNHZJqR5CB0nvWY4a80ub4mwiNu8hpcpiaNg,http://app.subjectivepersonality.com/search/person?person=Albert Z,1,
Alec Baldwin,FM-Te/Si-BS/PC,https://v5.airtableusercontent.com/v2/23/23/1700251200000/TKy2jYypec5a3ev971mz4Q/jr1ijnil4qzjvQrk3AFN5XDgYtozZSWBOARIX7w656MO8500IGD5eo7IUBVFmuvvZxPoyZyEIoB3Dx3-QUI49KEcwpzAnCCID5JU5EaMa_MUBQ6kCDnsr7dP4wQ8ZArVZl8rP5x5s055D4ogB1Q63g/7O5Ei0ICUqKBaVxrb034NNEKtI-7L8EY3WXK98Trlu8,http://app.subjectivepersonality.com/search/person?person=Alec Baldwin,0,https://www.youtube.com/results?search_query=Alec%20Baldwin%20interview
Alejandra Costello,FF-Te/Ni-BS/PC,https://v5.airtableusercontent.com/v2/23/23/1700251200000/4mBnGUKCrKfRrT3D5RpqRQ/I-6Zl02vcESf1W4JPWrKAGPLPmjRU3y9DYInSuz2U9nXceKBBRZIZFZkzN3BkSOkzW34wfiiqKC_802xFF7yO6CkTSEN6eQ_ThDixiVmkSo7l-Ys6aTCNmhhe70t_DzHbOKdtqFXNwEvSkMwTqIERg/Gl5YWdc0h6Q1CoC6Phygt7FHDMWxxE9r6C-cc16eqxU,http://app.subjectivepersonality.com/search/person?person=Alejandra Costello,0,https://www.youtube.com/results?search_query=Alejandra%20Costello%20interview
Alex B,FF-Ti/Se-CS/PB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/2dqFv_p_CceYAxSLu7J5gA/Y5ZTil7udpSlOEdB4Zg0c9CG38GYIsOU-h5LWUe3HK_bqJS7_pJB69OwqFuksA7dLAWdUI6DizoNEw3UnZgvuLOxSKCLY-UIen5R4zHJ2N8x9zvhDWFK52AEaSnbTZtl9OCBitCKpnaF_xtPspe2PA/NXt5rIF9PI7lRNqvP8eiN6UQ235w_Wrq6_42eP9LXm0,http://app.subjectivepersonality.com/search/person?person=Alex B,1,
Alex Honnold,FF-Ti/Se-CS/PB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/280MxtO56BQ9fFW6-_pD7w/twdx_g6MAgLrnyZQA77pyMjhdYg_wKfdSO7D3zriQu-KgWTjraAJo8JwH4E0LhBf5UkdVuPH7QwQRqWPjXtWgPUwVt4qDkuUR1fXLclhXH316RhNJjazo28mmQBX6e2zla5QgaBUXJZPcLaKjnX0Fg/GhPZ107hd2BKE0LjIG2hD4HxlKucGHHlU_JsaF4UaNU,http://app.subjectivepersonality.com/search/person?person=Alex Honnold,0,https://www.youtube.com/results?search_query=Alex%20Honnold%20interview
Alex Hormozi,FF-Se/Ti-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/BfjeefDgBnKQxXzWQMwuiA/V8cTAMfm-GP35bZOUYJ5ffmZHM24VUG9IsQXeZn1kbJBDw-RR3q7nxfn2RSYmQxuOF_eUd5LN4KIlQBBp_xMhJbbKJ2cdKVulilgHycYTcMnhcg3ZWzftaopyiOIuhSRokbAq5kyEaJsZ-5Jm8qcOA/g4_ULgihkB-0x15yFvXt14z6iUAG4v-HHsubmy4kErc,http://app.subjectivepersonality.com/search/person?person=Alex Hormozi,0,https://www.youtube.com/results?search_query=Alex%20Hormozi%20interview
Alex Ikonn,MF-Fi/Ni-SB/CP,https://v5.airtableusercontent.com/v2/23/23/1700251200000/wv1cICm4O7Fv0CLxHUiYuQ/FTTH40Ek0omauoTemxgroIFmCE6J2OH_MD4NSRdcBYK8a0JNgA_A3JpPYl4mb0KFiUFRT-TviGcgMxrDlv9M6JY_YxObHFIZ44P-dPRV1VZZs2N1fo65UbhS_dsvhjIO3O4pwuWwZmKyX0t3N5cGNQ/12ps5oLaxU5CWjtHEJw9jV-FIZKnKuG-DycXq6MK1TI,http://app.subjectivepersonality.com/search/person?person=Alex Ikonn,0,https://www.youtube.com/results?search_query=Alex%20Ikonn%20interview
Alex Jones,MM-Te/Ni-BP/CS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/m0dc4huwEEOHww3QJPo8Uw/qXUXZOjzEIJJKfFxKzm1bBQM_EA1e9kgme3dS7PbD4TzrAnZXOsrNWSeuMZUrW-HLIrM39taeUoykNle6tvQV93NMx6ZTkZmLDA9wf3-reVSvKrbWgoQe0o3E95uLEIC1jQJ2ET7Yc-xwYL1i9y2jA/yHmwja93p6F3BztF7Msukb0mXysQQaheLunNRuO0r1A,http://app.subjectivepersonality.com/search/person?person=Alex Jones,0,https://www.youtube.com/results?search_query=Alex%20Jones%20interview
Alex Mazhukhin,MF-Ni/Fe-BS/PC,https://v5.airtableusercontent.com/v2/23/23/1700251200000/BBtwTYtVvBaRHlrFa7brYg/zDM_ZXie3ohRgnzlDS6EdqHOjjRjXmTwptg8HAa-Mq9NYGAjLD65l17L5gVrAna6wur_t2SWfekakZvmiVJybN3HnZlzrCYnX2I9KWpAd_zEvWGNLB9pR54AfkImC55Lh0_3zXztf91kKJYhlxyH8Q/xbcxa6p_zneSwS5YaMl49w9o6B1HyXHWkHH_PGcKcA8,http://app.subjectivepersonality.com/search/person?person=Alex Mazhukhin,0,https://www.youtube.com/results?search_query=Alex%20Mazhukhin%20interview
Alex Rogers,FF-Te/Se-PC/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/Xc5QDstyOt4g5VUsjvZYmA/NYBu-SkE8NIQJp6gvjd0x2V5H35BYMsudfBWpOZ1bFd7mfuq73eCWVC9eStnOSgX8d3IToxFudjTNVdz2QVJR-Q6ts7UQ1lZU1lwj5bkmH6vFsr3oDRKkzuLY5cJ4dmUzy1T47UurnZzY-7wNeJVEA/QYy2SdX1P_YuhlfUGP_ANtRb0opwmCidyFEIUvLHBLE,http://app.subjectivepersonality.com/search/person?person=Alex Rogers,1,https://youtu.be/BvOoOLwsnQE
